code,name,ticker
5301,東海カーボン(株),5301.T
8273,(株)イズミ,8273.T
6136,ＯＳＧ,6136.T
3105,日清紡ホールディングス(株),3105.T
8370,(株)紀陽銀行,8370.T
4443,Ｓａｎｓａｎ(株),4443.T
8714,(株)池田泉州ホールディングス,8714.T
3186,(株)ネクステージ,3186.T
8133,伊藤忠エネクス(株),8133.T
7947,(株)エフピコ,7947.T
9031,西日本鉄道(株),9031.T
8848,(株)レオパレス２１,8848.T
8522,(株)名古屋銀行,8522.T
2317,(株)システナ,2317.T
9509,北海道電力(株),9509.T
7313,テイ・エス　テック(株),7313.T
7205,日野自動車(株),7205.T
3148,(株)クリエイトＳＤホールディングス,3148.T
4368,扶桑化学工業(株),4368.T
1979,(株)大気社,1979.T
2201,森永製菓(株),2201.T
9869,加藤産業(株),9869.T
6890,(株)フェローテック,6890.T
2270,雪印メグミルク(株),2270.T
6925,ウシオ電機(株),6925.T
7389,(株)あいちフィナンシャルグループ,7389.T
8381,(株)山陰合同銀行,8381.T
7242,カヤバ(株),7242.T
7994,(株)オカムラ,7994.T
8194,(株)ライフコーポレーション,8194.T
6590,芝浦メカトロニクス(株),6590.T
3591,(株)ワコールホールディングス,3591.T
6457,グローリー(株),6457.T
4061,デンカ(株),4061.T
4206,アイカ工業(株),4206.T
2730,(株)エディオン,2730.T
9627,(株)アインホールディングス,9627.T
6103,オークマ(株),6103.T
1885,東亜建設工業(株),1885.T
8022,ミズノ(株),8022.T
3050,ＤＣＭホールディングス(株),3050.T
6371,(株)椿本チエイン,6371.T
1833,(株)奥村組,1833.T
1820,西松建設(株),1820.T
6622,(株)ダイヘン,6622.T
3994,(株)マネーフォワード,3994.T
2127,(株)日本Ｍ＆Ａセンターホールディングス,2127.T
6814,古野電気(株),6814.T
4483,(株)ＪＭＤＣ,4483.T
8919,(株)カチタス,8919.T
6951,日本電子(株),6951.T
4617,中国塗料(株),4617.T
6508,(株)明電舎,6508.T
9616,(株)共立メンテナンス,9616.T
6744,能美防災(株),6744.T
7014,(株)名村造船所,7014.T
3360,シップヘルスケアホールディングス(株),3360.T
5857,ＡＲＥホールディングス(株),5857.T
2811,カゴメ(株),2811.T
7380,(株)十六フィナンシャルグループ,7380.T
8086,ニプロ(株),8086.T
7867,(株)タカラトミー,7867.T
6871,(株)日本マイクロニクス,6871.T
4373,シンプレクス・ホールディングス(株),4373.T
3295,ヒューリックリート投資法人,3295.T
8964,フロンティア不動産投資法人,8964.T
3282,コンフォリア・レジデンシャル投資法人,3282.T
3401,帝人(株),3401.T
1941,(株)中電工,1941.T
2593,(株)伊藤園,2593.T
9436,沖縄セルラー電話(株),9436.T
8876,(株)リログループ,8876.T
1861,(株)熊谷組,1861.T
8850,スターツコーポレーション(株),8850.T
4966,上村工業(株),4966.T
8242,エイチ・ツー・オー　リテイリング(株),8242.T
4208,ＵＢＥ(株),4208.T
5191,住友理工(株),5191.T
7173,(株)東京きらぼしフィナンシャルグループ,7173.T
268A,リガク・ホールディングス(株),268A.T
8986,大和証券リビング投資法人,8986.T
4272,日本化薬(株),4272.T
4887,サワイグループホールディングス(株),4887.T
3697,(株)ＳＨＩＦＴ,3697.T
8515,アイフル(株),8515.T
3107,ダイワボウホールディングス(株),3107.T
6135,(株)牧野フライス製作所,6135.T
7278,(株)エクセディ,7278.T
9303,(株)住友倉庫,9303.T
2782,(株)セリア,2782.T
9003,相鉄ホールディングス(株),9003.T
9744,(株)メイテックグループホールディングス,9744.T
8961,森トラストリート投資法人,8961.T
8282,(株)ケーズホールディングス,8282.T
6995,(株)東海理化,6995.T
6507,シンフォニアテクノロジー(株),6507.T
1414,ショーボンドホールディングス(株),1414.T
6849,日本光電,6849.T
3234,森ヒルズリート投資法人,3234.T
2222,寿スピリッツ(株),2222.T
3466,ラサールロジポート投資法人,3466.T
8967,日本ロジスティクスファンド投資法人,8967.T
429A,テクセンドフォトマスク(株),429A.T
6960,フクダ電子(株),6960.T
7581,(株)サイゼリヤ,7581.T
2810,ハウス食品グループ本社(株),2810.T
9934,因幡電機産業(株),9934.T
5032,ＡＮＹＣＯＬＯＲ(株),5032.T
8368,(株)百五銀行,8368.T
4114,(株)日本触媒,4114.T
4046,(株)大阪ソーダ,4046.T
3292,イオンリート投資法人,3292.T
4118,(株)カネカ,4118.T
9302,三井倉庫ホールディングス(株),9302.T
6787,(株)メイコー,6787.T
8020,兼松(株),8020.T
4043,(株)トクヤマ,4043.T
6952,カシオ計算機(株),6952.T
