code,company_name
6141,ＤＭＧ森精機(株)
4202,(株)ダイセル
3309,積水ハウス・リート投資法人
5463,丸一鋼管(株)
3923,(株)ラクス
9409,(株)テレビ朝日ホールディングス
7419,(株)ノジマ
5741,(株)ＵＡＣＪ
6323,ローツェ(株)
9045,京阪ホールディングス(株)
4902,コニカミノルタ(株)
6324,(株)ハーモニック・ドライブ・システムズ
4631,ＤＩＣ(株)
8410,(株)セブン銀行
3549,(株)クスリのアオキホールディングス
8976,大和証券オフィス投資法人
1662,石油資源開発(株)
9418,(株)Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ
1949,住友電設(株)
417A,(株)ブルーゾーンホールディングス
141A,(株)トライアルホールディングス
8129,東邦ホールディングス(株)
9069,センコーグループホールディングス(株)
5471,大同特殊鋼(株)
8304,(株)あおぞら銀行
6134,(株)ＦＵＪＩ
8358,スルガ銀行(株)
6432,(株)竹内製作所
8570,イオンフィナンシャルサービス(株)
3226,三井不動産アコモデーションファンド投資法人
3279,アクティビア・プロパティーズ投資法人
1719,安藤ハザマ
8174,日本瓦斯(株)
9044,南海電気鉄道(株)
2264,森永乳業(株)
1980,ダイダン(株)
2296,伊藤ハム米久ホールディングス(株)
3387,(株)クリエイト・レストランツ・ホールディングス
6728,(株)アルバック
2531,宝ホールディングス(株)
4922,(株)コーセー
4686,(株)ジャストシステム
4680,(株)ラウンドワン
5805,ＳＷＣＣ(株)
4530,久光製薬(株)
3941,レンゴー(株)
9048,名古屋鉄道(株)
6544,ジャパンエレベーターサービスホールディングス(株)
8524,(株)北洋銀行
7762,シチズン時計(株)
2607,不二製油(株)
2432,(株)ディー・エヌ・エー
6454,マックス(株)
4540,(株)ツムラ
1417,(株)ミライト・ワン
4927,(株)ポーラ・オルビスホールディングス
3048,(株)ビックカメラ
9507,四国電力(株)
7906,ヨネックス(株)
1961,三機工業(株)
7966,リンテック(株)
6952,カシオ計算機(株)
9759,(株)ＮＳＤ
8050,セイコーグループ(株)
6436,アマノ(株)
429A,テクセンドフォトマスク(株)
8283,(株)ＰＡＬＴＡＣ
6754,アンリツ(株)
5032,ＡＮＹＣＯＬＯＲ(株)
8078,阪和興業(株)
4043,(株)トクヤマ
8020,兼松(株)
9302,三井倉庫ホールディングス(株)
6787,(株)メイコー
3292,イオンリート投資法人
4114,(株)日本触媒
2810,ハウス食品グループ本社(株)
8967,日本ロジスティクスファンド投資法人
4118,(株)カネカ
9934,因幡電機産業(株)
2222,寿スピリッツ(株)
4046,(株)大阪ソーダ
8368,(株)百五銀行
3234,森ヒルズリート投資法人
1414,ショーボンドホールディングス(株)
3466,ラサールロジポート投資法人
7581,(株)サイゼリヤ
6849,日本光電
8282,(株)ケーズホールディングス
9003,相鉄ホールディングス(株)
8961,森トラストリート投資法人
9744,(株)メイテックグループホールディングス
6960,フクダ電子(株)
6995,(株)東海理化
6135,(株)牧野フライス製作所
9303,(株)住友倉庫
5191,住友理工(株)
2782,(株)セリア
4887,サワイグループホールディングス(株)
4272,日本化薬(株)
8986,大和証券リビング投資法人
3107,ダイワボウホールディングス(株)
7173,(株)東京きらぼしフィナンシャルグループ
9436,沖縄セルラー電話(株)
7278,(株)エクセディ
4208,ＵＢＥ(株)
6507,シンフォニアテクノロジー(株)
1861,(株)熊谷組
8876,(株)リログループ
268A,リガク・ホールディングス(株)
1941,(株)中電工
8850,スターツコーポレーション(株)
8242,エイチ・ツー・オー　リテイリング(株)
4966,上村工業(株)
3282,コンフォリア・レジデンシャル投資法人
2593,(株)伊藤園
8515,アイフル(株)
3401,帝人(株)
7867,(株)タカラトミー
3285,野村不動産マスターファンド投資法人（旧）
8964,フロンティア不動産投資法人
2811,カゴメ(株)
3295,ヒューリックリート投資法人
8086,ニプロ(株)
6508,(株)明電舎
7380,(株)十六フィナンシャルグループ
3697,(株)ＳＨＩＦＴ
4373,シンプレクス・ホールディングス(株)
6951,日本電子(株)
9616,(株)共立メンテナンス
5857,ＡＲＥホールディングス(株)
3360,シップヘルスケアホールディングス(株)
4483,(株)ＪＭＤＣ
6622,(株)ダイヘン
8919,(株)カチタス
8022,ミズノ(株)
4617,中国塗料(株)
7014,(株)名村造船所
2127,(株)日本Ｍ＆Ａセンターホールディングス
4061,デンカ(株)
6814,古野電気(株)
6590,芝浦メカトロニクス(株)
6871,(株)日本マイクロニクス
1820,西松建設(株)
3050,ＤＣＭホールディングス(株)
1885,東亜建設工業(株)
6371,(株)椿本チエイン
6103,オークマ(株)
3591,(株)ワコールホールディングス
6457,グローリー(株)
6744,能美防災(株)
2730,(株)エディオン
1833,(株)奥村組
4206,アイカ工業(株)
3994,(株)マネーフォワード
7994,(株)オカムラ
7389,(株)あいちフィナンシャルグループ
8194,(株)ライフコーポレーション
9627,(株)アインホールディングス
7242,カヤバ(株)
6925,ウシオ電機(株)
2201,森永製菓(株)
8381,(株)山陰合同銀行
3278,ケネディクス・レジデンシャル・ネクスト投資法人
9869,加藤産業(株)
2270,雪印メグミルク(株)
3263,大和ハウスリート投資法人（旧）
4368,扶桑化学工業(株)
3148,(株)クリエイトＳＤホールディングス
7313,テイ・エス　テック(株)
4587,ペプチドリーム(株)
7205,日野自動車(株)
2317,(株)システナ
9509,北海道電力(株)
9031,西日本鉄道(株)
7947,(株)エフピコ
8522,(株)名古屋銀行
6136,ＯＳＧ
6890,(株)フェローテック
8848,(株)レオパレス２１
3105,日清紡ホールディングス(株)
1979,(株)大気社
8714,(株)池田泉州ホールディングス
4547,キッセイ薬品工業(株)
8133,伊藤忠エネクス(株)
3186,(株)ネクステージ
6736,サン電子(株)
5301,東海カーボン(株)
8273,(株)イズミ
4443,Ｓａｎｓａｎ(株)
8370,(株)紀陽銀行
9746,(株)ＴＫＣ
8628,松井証券(株)
9936,(株)王将フードサービス
3569,セーレン(株)
5451,(株)ヨドコウ
4665,(株)ダスキン
8066,三谷商事(株)
7744,ノーリツ鋼機(株)
8544,(株)京葉銀行
8956,NTT都市開発リート投資法人
8959,野村不動産オフィスファンド投資法人
7817,パラマウントベッドホールディングス(株)
4041,日本曹達(株)
2001,(株)ニップン
9682,(株)ＤＴＳ
9505,北陸電力(株)
8154,加賀電子(株)
1766,東建コーポレーション(株)
9861,(株)吉野家ホールディングス
6412,(株)平和
4023,(株)クレハ
6013,(株)タクマ
8957,東急リアル・エステート投資法人
8098,稲畑産業(株)
7956,ピジョン(株)
9948,(株)アークス
7846,(株)パイロットコーポレーション
3481,三菱地所物流リート投資法人
2121,(株)ＭＩＸＩ
6632,(株)ＪＶＣケンウッド
6472,ＮＴＮ(株)
7296,(株)エフ・シー・シー
8987,ジャパンエクセレント投資法人
1333,マルハニチロ(株)
8966,平和不動産リート投資法人
8367,(株)南都銀行
1950,日本電設工業(株)
3498,霞ヶ関キャピタル(株)
7250,太平洋工業(株)
7981,タカラスタンダード(株)
1377,(株)サカタのタネ
2337,いちご(株)
8361,(株)大垣共立銀行
2659,(株)サンエー
8584,(株)ジャックス
4544,Ｈ．Ｕ．グループホールディングス(株)
6407,ＣＫＤ(株)
8218,(株)コメリ
4107,伊勢化学工業(株)
5384,(株)フジミインコーポレーテッド
6366,千代田化工建設(株)
4553,東和薬品(株)
4095,日本パーカライジング(株)
7476,アズワン(株)
7806,(株)ＭＴＧ
4722,フューチャー(株)
7616,(株)コロワイド
8386,(株)百十四銀行
