rank,code,company_name,market_cap,scrape_date
280,6856,(株)堀場製作所,644691,2025-12-07
281,8984,大和ハウスリート投資法人,640831,2025-12-07
282,5105,ＴＯＹＯ　ＴＩＲＥ(株),636016,2025-12-07
283,9009,京成電鉄(株),635680,2025-12-07
284,5444,大和工業(株),632400,2025-12-07
285,2181,パーソルホールディングス(株),628393,2025-12-07
286,1969,高砂熱学工業(株),624850,2025-12-07
287,2501,サッポロホールディングス(株),624524,2025-12-07
288,6806,ヒロセ電機(株),618220,2025-12-07
289,6368,オルガノ(株),615657,2025-12-07
290,7731,(株)ニコン,612297,2025-12-07
291,9007,小田急電鉄(株),611338,2025-12-07
292,2331,ＡＬＳＯＫ(株),609944,2025-12-07
293,9142,九州旅客鉄道(株),607152,2025-12-07
294,9412,(株)スカパーＪＳＡＴホールディングス,605781,2025-12-07
295,3086,Ｊ．フロント　リテイリング(株),601603,2025-12-07
296,6113,(株)アマダ,597111,2025-12-07
297,2809,キユーピー(株),595149,2025-12-07
298,3349,(株)コスモス薬品,593132,2025-12-07
299,5344,(株)ＭＡＲＵＷＡ,590516,2025-12-07
300,5110,住友ゴム工業(株),584482,2025-12-07
301,5901,東洋製罐グループホールディングス(株),581404,2025-12-07
302,6460,セガサミーホールディングス(株),581170,2025-12-07
303,5991,ニッパツ,578012,2025-12-07
304,4527,ロート製薬(株),575803,2025-12-07
305,4182,三菱ガス化学(株),574200,2025-12-07
306,8954,オリックス不動産投資法人,574080,2025-12-07
307,7459,(株)メディパルホールディングス,572658,2025-12-07
308,8960,ユナイテッド・アーバン投資法人,572612,2025-12-07
309,8341,(株)七十七銀行,571775,2025-12-07
310,5214,日本電気硝子(株),565339,2025-12-07
311,8252,(株)丸井グループ,564939,2025-12-07
312,1721,コムシスホールディングス(株),558467,2025-12-07
313,4626,太陽ホールディングス(株),556858,2025-12-07
314,5947,リンナイ(株),555985,2025-12-07
315,8056,ＢＩＰＲＯＧＹ(株),555562,2025-12-07
316,9506,東北電力(株),552165,2025-12-07
317,8377,(株)ほくほくフィナンシャルグループ,550996,2025-12-07
318,7564,(株)ワークマン,547555,2025-12-07
319,4816,東映アニメーション(株),545580,2025-12-07
320,9513,Ｊ－ＰＯＷＥＲ,542747,2025-12-07
321,1959,(株)クラフティア,536873,2025-12-07
322,7951,ヤマハ(株),536450,2025-12-07
323,9041,近鉄グループホールディングス(株),536332,2025-12-07
324,4980,デクセリアルズ(株),535783,2025-12-07
325,6965,浜松ホトニクス(株),533049,2025-12-07
326,5076,インフロニア・ホールディングス(株),532650,2025-12-07
327,6473,(株)ジェイテクト,531916,2025-12-07
328,7211,三菱自動車(株),529861,2025-12-07
329,9364,(株)上組,529261,2025-12-07
330,6302,住友重機械工業(株),528985,2025-12-07
331,2002,(株)日清製粉グループ本社,527689,2025-12-07
332,5938,(株)ＬＩＸＩＬ,526296,2025-12-07
333,8233,(株)高島屋,521316,2025-12-07
334,6753,シャープ(株),517464,2025-12-07
335,3774,(株)インターネットイニシアティブ,511180,2025-12-07
336,9989,(株)サンドラッグ,507516,2025-12-07
337,6028,テクノプロ・ホールディングス(株),506303,2025-12-07
338,6976,太陽誘電(株),502774,2025-12-07
339,9001,東武鉄道(株),501748,2025-12-07
340,4812,(株)電通総研,500601,2025-12-07
341,1951,エクシオグループ(株),500387,2025-12-07
342,4536,参天製薬(株),499839,2025-12-07
343,8963,インヴィンシブル投資法人,498549,2025-12-07
344,6481,ＴＨＫ(株),495336,2025-12-07
345,4088,エア・ウォーター(株),492135,2025-12-07
346,7988,(株)ニフコ,486748,2025-12-07
347,1963,日揮ホールディングス(株),483864,2025-12-07
348,3436,(株)ＳＵＭＣＯ,483067,2025-12-07
349,2579,コカ・コーラ　ボトラーズジャパンホールディングス(株),481693,2025-12-07
350,8418,(株)山口フィナンシャルグループ,481626,2025-12-07
351,9468,(株)ＫＡＤＯＫＡＷＡ,478259,2025-12-07
352,4385,(株)メルカリ,476755,2025-12-07
353,6471,日本精工(株),476250,2025-12-07
354,3269,アドバンス・レジデンス投資法人,476049,2025-12-07
355,4203,住友ベークライト(株),475915,2025-12-07
356,3405,(株)クラレ,474264,2025-12-07
357,7337,(株)ひろぎんホールディングス,472037,2025-12-07
358,2871,(株)ニチレイ,471953,2025-12-07
359,9008,京王電鉄(株),467316,2025-12-07
360,6923,スタンレー電気(株),463752,2025-12-07
361,3110,日東紡,463616,2025-12-07
362,9065,山九(株),459127,2025-12-07
363,6268,ナブテスコ(株),456048,2025-12-07
364,7327,(株)第四北越フィナンシャルグループ,455387,2025-12-07
365,2371,(株)カカクコム,454118,2025-12-07
366,9533,東邦ガス(株),453089,2025-12-07
367,1893,五洋建設(株),452188,2025-12-07
368,7729,(株)東京精密,452104,2025-12-07
369,9831,(株)ヤマダホールディングス,451235,2025-12-07
370,7240,ＮＯＫ(株),450628,2025-12-07
371,6406,フジテック(株),450440,2025-12-07
372,3350,(株)メタプラネット,448914,2025-12-07
373,4912,ライオン(株),448772,2025-12-07
374,3116,トヨタ紡織(株),447301,2025-12-07
